40
1  23  1533151603.547590
600.120214 1647.490776 -0.501631
1  637.061014 1636.277694 -0.235000  0.921135 0.819950 1.778000  2.347412
2  612.517640 1631.663012 0.491000  0.609748 0.852135 1.904000  2.384359
3  618.906297 1649.218021 0.413000  0.444144 0.552013 1.752000  2.743648
4  635.174070 1674.601386 -0.163000  0.983275 1.002993 2.000000  1.047850
5  622.747382 1623.812680 -0.016000  0.815582 1.134927 1.975000  2.569463
6  635.486097 1620.970355 -0.326000  2.129086 4.707393 1.481000  -0.904782
7  597.958711 1641.993075 1.029000  0.603393 0.671382 1.929000  -0.350966
8  622.108529 1646.071451 0.321000  0.821765 0.565487 1.761000  2.675967
9  619.998233 1624.586544 0.071000  0.453549 0.554144 1.890000  -0.671863
10  583.443196 1656.846513 1.267000  1.971005 4.519778 1.515000  -0.479373
11  627.291429 1617.639143 -0.387000  0.702375 0.397896 1.622000  2.010935
12  641.154826 1642.828545 -0.285000  0.679271 0.448631 1.807000  1.303783
13  602.462815 1626.496049 0.234000  0.537062 0.674838 1.851000  0.973712
14  631.809951 1636.995734 0.074000  0.504422 0.734966 1.877000  -2.770276
15  661.239940 1604.391923 -0.423000  1.926543 4.044853 1.560000  2.465114
16  650.701572 1624.204119 -0.300000  0.403729 0.482558 1.711000  -0.348669
17  582.210105 1668.822667 1.473000  0.937227 1.152246 2.211000  2.673613
18  597.471510 1641.414846 0.993000  0.843442 0.638058 1.891000  -0.463209
19  636.562108 1680.912956 -0.198000  0.740610 1.049501 2.083000  0.958984
20  582.361014 1660.986214 1.380000  1.922410 5.237076 1.639000  2.594712
21  639.971853 1606.991384 -0.122000  0.833114 0.800097 1.835000  -0.672240
22  631.655291 1644.290486 -0.459000  0.888472 0.965893 1.520000  0.966629
23  637.264544 1636.243931 -0.011000  0.462929 0.861078 1.950000  2.421748

2  30  1533151604.048025
603.825920 1645.386991 -0.519701
1  636.945608 1635.978731 -0.177000  0.657024 0.546850 1.778000  2.432035
2  611.921279 1632.482012 0.566000  0.771572 0.945025 1.904000  2.430292
3  618.595563 1649.379047 0.538000  0.552627 0.679244 1.752000  2.676728
4  635.507540 1674.684348 -0.080000  1.142978 0.846210 2.000000  1.137078
5  621.674385 1624.652579 0.068000  0.587078 0.953805 1.975000  2.457113
6  627.282659 1619.595331 -0.161000  0.901418 0.671715 1.590000  2.287162
7  637.898710 1618.955399 -0.238000  1.961090 4.579746 1.481000  -0.675610
8  599.008742 1641.671955 1.029000  0.840035 0.409211 1.929000  -0.435308
9  621.332503 1646.450548 0.446000  0.749757 0.403567 1.761000  2.567616
10  659.807534 1613.245222 -0.172000  1.704784 5.103581 1.672000  -1.843431
11  620.096061 1624.204526 0.030000  0.717984 0.761459 1.890000  -0.725446
12  587.615848 1654.588607 1.126000  1.782019 4.640010 1.515000  -0.462538
13  626.997848 1618.136437 -0.262000  0.499616 0.288727 1.622000  1.971192
14  601.706099 1627.057055 0.393000  0.527402 0.386101 2.000000  1.047272
15  641.097027 1642.903332 -0.385000  0.785559 0.324969 1.807000  1.348286
16  602.435572 1626.756529 0.434000  0.393000 0.657977 1.851000  1.020732
17  631.394182 1637.158863 0.174000  0.874221 0.833891 1.877000  -2.691818
18  658.342821 1606.981446 -0.332000  2.371293 4.550248 1.560000  2.415116
19  651.592391 1624.552676 -0.175000  0.716866 0.446476 1.711000  -0.455153
20  624.942569 1621.273927 -0.136000  0.708803 0.975351 1.794000  2.415882
21  581.444549 1669.185488 1.549000  0.877472 1.378715 2.211000  2.568151
22  671.278542 1603.875090 -0.295000  1.926437 4.897247 1.629000  2.412393
23  598.438827 1641.049663 0.993000  0.836076 0.427791 1.891000  -0.450968
24  637.262109 1681.148724 -0.012000  0.883098 1.232242 2.083000  1.099086
25  638.960138 1624.915971 -0.086000  1.941956 4.992650 1.792000  2.463405
26  577.141396 1663.418346 1.585000  2.267770 4.915549 1.639000  2.615673
27  639.506426 1605.584567 0.078000  0.652140 0.426309 1.835000  -0.711535
28  631.657729 1644.579585 -0.459000  0.727116 0.667728 1.520000  1.020237
29  637.496436 1637.158152 0.039000  0.630430 0.656343 1.950000  2.357800
30  621.723326 1622.998363 0.061000  0.697514 0.742798 1.849000  -0.758754

3  33  1533151604.547893
607.454126 1643.214922 -0.547173
1  636.064034 1636.799381 -0.119000  0.406665 0.728913 1.778000  2.476490
2  611.725624 1633.008523 0.641000  0.664821 1.014107 1.904000  2.386412
3  617.939862 1649.725663 0.663000  0.510668 0.589372 1.752000  2.732090
4  635.859845 1675.901832 -0.190000  0.963714 1.316935 2.000000  1.064046
5  621.024549 1625.289819 0.201000  0.695707 1.210777 1.975000  2.465902
6  627.062738 1619.809094 -0.051000  0.524649 0.715654 1.590000  2.321819
7  639.365349 1616.921331 -0.267000  1.987816 4.592748 1.481000  -0.771440
8  599.426771 1641.568416 1.029000  0.584980 0.764203 1.929000  -0.412427
9  621.444195 1646.958713 0.571000  0.817668 0.481113 1.761000  2.729427
10  659.894441 1614.285038 -0.142000  2.130019 5.006248 1.672000  -1.805202
11  620.491341 1623.740797 -0.012000  0.708937 0.761022 1.890000  -0.717266
12  590.827572 1652.394191 1.146000  1.841430 4.738564 1.515000  -0.501864
13  626.845888 1618.520087 -0.137000  0.598806 0.301033 1.622000  2.136940
14  602.096602 1627.735588 0.443000  0.457842 0.434277 2.000000  1.146209
15  640.707404 1643.103848 -0.210000  0.626332 0.528099 1.807000  1.374104
16  602.764573 1627.331632 0.134000  0.393081 0.339253 1.851000  1.038281
17  631.585330 1637.051700 0.224000  0.658196 0.727370 1.877000  -2.733581
18  654.834529 1610.345880 -0.240000  1.647983 4.813243 1.560000  2.440660
